Processing Log
=================

glass_box: glass_box_0080
Slice64: 0.004582353960493524
Slice128: 0.002674594385454085
Voxel64: 7.387291621055762e-05
Voxel128: 7.387291621055762e-05

glass_box: glass_box_0005
Slice64: 0.004414515111717857
Slice128: 0.0024732060153191127
Voxel64: 1.5850676993498627e-05
Voxel128: 1.5850676993498627e-05

glass_box: glass_box_0003
Slice64: 0.00764728562674854
Slice128: 0.0029110355899194078
Voxel64: 0.0004992424295806386
Voxel128: 1.3128914256754627e-05

glass_box: glass_box_0128
Slice64: 0.006624380894237095
Slice128: 0.002239760207986473
Voxel64: 0.0002918798888155896
Voxel128: 2.1350542798086404e-07

glass_box: glass_box_0114
Slice64: 0.015738549640665952
Slice128: 0.033577286180601004
Voxel64: 0.011994657248948794
Voxel128: 0.022979577004181934

glass_box: glass_box_0138
Slice64: 0.005720447431197298
Slice128: 0.0027193567902052797
Voxel64: 0.005893751422335391
Voxel128: 0.003183283738044164

glass_box: glass_box_0059
Slice64: 0.007000080890565339
Slice128: 0.0038484666903351745
Voxel64: 0.002202581020738137
Voxel128: 2.1033588745969703e-07

glass_box: glass_box_0119
Slice64: 0.00702502671851217
Slice128: 0.00710198948510839
Voxel64: 0.009050986163936998
Voxel128: 0.008009425451172083

glass_box: glass_box_0120
Slice64: 0.008167081994947124
Slice128: 0.004004475105363935
Voxel64: 8.619701417050406e-06
Voxel128: 8.619701417050406e-06

glass_box: glass_box_0157
Slice64: 2.3322092895967186e-06
Slice128: 2.3322092895967186e-06
Voxel64: 5.116701459146881e-09
Voxel128: 5.116701459146881e-09

glass_box: glass_box_0109
Slice64: 0.044945677606249235
Slice128: 0.004239883644550078
Voxel64: 0.006383350388747183
Voxel128: 0.003365041449516657

glass_box: glass_box_0054
Slice64: 0.005944367067123873
Slice128: 0.003251054277213177
Voxel64: 0.002187337758401731
Voxel128: 0.00016457381022924987

glass_box: glass_box_0131
Slice64: 0.008556243262106616
Slice128: 0.004653464518681459
Voxel64: 0.010072127051718187
Voxel128: 0.007049173775812058

glass_box: glass_box_0076
Slice64: 0.008160977683238504
Slice128: 0.003401766701783797
Voxel64: 0.0003144067149760375
Voxel128: 1.3056703765525194e-05

glass_box: glass_box_0144
Slice64: 0.00619653552339363
Slice128: 0.002673636096797135
Voxel64: 0.003909264888112817
Voxel128: 1.8022541529687372e-05

glass_box: glass_box_0102
Slice64: 0.00619653552339363
Slice128: 0.002673636096797135
Voxel64: 0.003909264888112817
Voxel128: 1.8022541529687372e-05

glass_box: glass_box_0018
Slice64: 0.007602379069586715
Slice128: 0.0027859364115038346
Voxel64: 0.0033255948646060854
Voxel128: 0.0002672814790773622

glass_box: glass_box_0024
Slice64: 0.005313771548071688
Slice128: 0.003191297791771729
Voxel64: 0.002826921124947504
Voxel128: 1.8011622465601772e-05

glass_box: glass_box_0162
Slice64: 0.0075591948418095595
Slice128: 0.0044267766691562455
Voxel64: 0.07462466660883581
Voxel128: 0.0030082995388793165

glass_box: glass_box_0165
Slice64: 0.005542003505373198
Slice128: 0.0026715858038502
Voxel64: 0.0010620240123078086
Voxel128: 1.8034276836422974e-05

glass_box: glass_box_0086
