Processing Log
=================

glass_box: glass_box_0080
Slice64: 0.004453884609846148
Slice128: 0.0026116289065139333
Voxel64: 6.62460863077167e-05
Voxel128: 6.62460863077167e-05

glass_box: glass_box_0005
Slice64: 0.0045773820499215665
Slice128: 0.0025105125717757755
Voxel64: 1.2483775811198638e-05
Voxel128: 1.2483775811198638e-05

glass_box: glass_box_0003
Slice64: 0.007011528892251588
Slice128: 0.002861644582427823
Voxel64: 0.0003337448395303709
Voxel128: 1.0331582664117299e-05

glass_box: glass_box_0128
Slice64: 0.006209909435855893
Slice128: 0.0022977272179170428
Voxel64: 0.0001942662913352124
Voxel128: 2.0085918177983545e-07

glass_box: glass_box_0114
Slice64: 0.012144250648743832
Slice128: 0.022097993612247777
Voxel64: 0.007933172604849145
Voxel128: 0.014395636756036346

glass_box: glass_box_0138
Slice64: 0.005572314627741839
Slice128: 0.0027048769047052588
Voxel64: 0.0036411813433404982
Voxel128: 0.002044141827768498

glass_box: glass_box_0059
Slice64: 0.0066331155879647535
Slice128: 0.0034545700729251934
Voxel64: 0.0014030751402741956
Voxel128: 1.9767747252730278e-07

glass_box: glass_box_0119
Slice64: 0.006236228440423442
Slice128: 0.005325208068306074
Voxel64: 0.005201567681230677
Voxel128: 0.0046437139640735405

glass_box: glass_box_0120
Slice64: 0.0076638780125000356
Slice128: 0.003680814807753829
Voxel64: 8.056792238347159e-06
Voxel128: 8.056792238347159e-06

glass_box: glass_box_0157
Slice64: 2.2842655322348274e-06
Slice128: 2.2842655322348274e-06
Voxel64: 4.984048987946792e-09
Voxel128: 4.984048987946792e-09

glass_box: glass_box_0109
Slice64: 0.02848890809053439
Slice128: 0.002963092874299054
Voxel64: 0.00396913584140152
Voxel128: 0.0021247229129840086

glass_box: glass_box_0054
Slice64: 0.005775668908137252
Slice128: 0.003092321144677653
Voxel64: 0.0013478806592130011
Voxel128: 0.00011239128005500257

glass_box: glass_box_0131
Slice64: 0.007261422219975332
Slice128: 0.0038048143489529773
Voxel64: 0.005765965705752027
Voxel128: 0.004277709633538515

glass_box: glass_box_0076
Slice64: 0.007467623203627705
Slice128: 0.0032239628885142504
Voxel64: 0.0002114950399604618
Voxel128: 1.0263412281873151e-05

glass_box: glass_box_0144
Slice64: 0.005759789246708534
Slice128: 0.002716236320874266
Voxel64: 0.0023501941320136855
Voxel128: 1.4166178497827497e-05

glass_box: glass_box_0102
Slice64: 0.005759789246708534
Slice128: 0.002716236320874266
Voxel64: 0.0023501941320136855
Voxel128: 1.4166178497827497e-05

glass_box: glass_box_0018
Slice64: 0.006848029122046007
Slice128: 0.002639089188567154
Voxel64: 0.0020379970482265236
Voxel128: 0.00018337265197259302

glass_box: glass_box_0024
Slice64: 0.005341698019186557
Slice128: 0.0031104533021490684
Voxel64: 0.001739539999073549
Voxel128: 1.4156062568960947e-05

glass_box: glass_box_0162
Slice64: 0.005567678271960778
Slice128: 0.0033629493812483884
Voxel64: 0.04741775912499427
Voxel128: 0.0019428622181117492

glass_box: glass_box_0165
Slice64: 0.0053446153545214856
Slice128: 0.002718612665583588
Voxel64: 0.0006797993021184589
Voxel128: 1.4174197548768478e-05

