Processing Log
=================

glass_box: glass_box_0080
Slice64: 0.004453884609846148
Slice128: 0.0026116289065139333
Voxel64: 6.62460863077167e-05
Voxel128: 6.62460863077167e-05

glass_box: glass_box_0005
Slice64: 0.0045773820499215665
Slice128: 0.0025105125717757755
Voxel64: 1.2483775811198638e-05
Voxel128: 1.2483775811198638e-05

glass_box: glass_box_0003
Slice64: 0.007011528892251588
Slice128: 0.002861644582427823
Voxel64: 0.0003337448395303709
Voxel128: 1.0331582664117299e-05

glass_box: glass_box_0128
Slice64: 0.006209909435855893
Slice128: 0.0022977272179170428
Voxel64: 0.0001942662913352124
Voxel128: 2.0085918177983545e-07

glass_box: glass_box_0114
Slice64: 0.012144250648743832
Slice128: 0.022097993612247777
Voxel64: 0.007933172604849145
Voxel128: 0.014395636756036346

